BSC Name,,TCH Assignment Success Rate [BBH],TCH Blocking Rate [BBH],Drop Call Rate [BBH],SDCCH Drop Call Rate [BBH],Total Voice Traffic [BBH],RX Quality [BBH],HOSR[CBBH],SDCCH Blocking Rate [BBH]
,20-Jun-22,98.74,0.25,0.81,0.04,6501.02,98.19,98.1,0.01
,21-Jun-22,98.7,0.09,0.84,0.05,6539.8,98.17,98.13,0
,22-Jun-22,98.57,0.07,0.85,0.05,6436.87,98.15,98.16,0
BSC184CHP,18-Jun-22,99.1,0.36,0.57,0.02,6876.96,98.37,98.78,0.09
,19-Jun-22,99.03,0.37,0.67,0.02,6324.37,98.22,98.93,0.1
,20-Jun-22,99.13,0.08,0.61,0.02,6567.38,98.21,98.75,0.07
,21-Jun-22,99.1,0.2,0.58,0.02,6779.04,98.12,98.62,0
,22-Jun-22,99.02,0.14,0.56,0.02,6941.77,98.21,98.54,0
BSC186BPL,18-Jun-22,99.05,0.01,0.53,0.03,2480.22,98.45,98.24,0.09
,19-Jun-22,98.91,0.01,0.59,0.02,2405.58,98.49,98.27,0
,20-Jun-22,98.96,0.02,0.56,0.03,2405.41,98.41,98.29,0.16
,21-Jun-22,99.07,0.06,0.56,0.03,2353.69,98.38,98.21,0.01
,22-Jun-22,98.92,0,0.52,0.02,2327.01,98.46,98.29,1.15
BSC189RPR,18-Jun-22,99.21,0.01,0.6,0.04,3524.54,98.39,98.18,0
,19-Jun-22,99.17,0,0.62,0.04,3355.34,98.33,98.05,0
,20-Jun-22,99.24,0.01,0.72,0.03,3367.73,98.22,97.9,0.02
,21-Jun-22,99.3,0,0.67,0.03,3409.85,98.29,97.89,0
,22-Jun-22,99.19,0,0.65,0.03,3509.14,98.33,97.95,0.01
BSC190IDR,18-Jun-22,99,0.04,0.59,0.05,4655.72,98.56,97.82,0.14
,19-Jun-22,98.9,0.03,0.66,0.04,4578.53,98.55,97.95,0.1
,20-Jun-22,98.97,0,0.54,0.04,4768.59,98.57,97.84,0.1
,21-Jun-22,99.06,0.05,0.58,0.03,4753.9,98.52,97.93,0.06
,22-Jun-22,98.87,0.05,0.66,0.05,4731.28,98.48,97.86,0.13
BSC193JBL,18-Jun-22,99.08,0.05,0.5,0.02,2526.19,98.51,98.77,0.02
,19-Jun-22,99.07,0.02,0.53,0.02,2393.69,98.53,98.73,0.13
,20-Jun-22,99.08,0.02,0.45,0.02,2483.59,98.55,98.81,0.05
,21-Jun-22,99.12,0.04,0.55,0.02,2492.98,98.5,98.84,0.02
,22-Jun-22,99.06,0.03,0.51,0.02,2535.49,98.54,98.69,0.35
BSC201IDR,18-Jun-22,98.88,0.05,0.56,0.05,2713.77,98.47,98.6,0
,19-Jun-22,98.79,0.02,0.61,0.03,2854.52,98.47,98.46,0
,20-Jun-22,98.88,0.03,0.67,0.05,2901.88,98.44,97.26,0
,21-Jun-22,98.92,0.01,0.63,0.03,2855.49,98.41,98.43,0
,22-Jun-22,98.69,0.03,0.66,0.04,2891.5,98.34,98.39,0
BSC202BPL,18-Jun-22,99.11,0.03,0.53,0.02,7379.08,98.45,98.35,0.01
,19-Jun-22,99.05,0.05,0.54,0.02,6983.8,98.49,98.49,0.23
,20-Jun-22,99.11,0.03,0.54,0.03,7385.18,98.41,98.37,0.03
,21-Jun-22,99.13,0.06,0.53,0.04,7470.47,98.4,98.33,0.06
,22-Jun-22,99.04,0.02,0.52,0.03,7682.68,98.46,98.42,0.03
BSC203GWL,18-Jun-22,99.2,0.1,0.55,0.03,9824.42,98.37,98.59,0.02
,19-Jun-22,99.07,0.12,0.58,0.03,9051.95,98.32,98.49,0.07
,20-Jun-22,99.18,0.1,0.95,0.02,9208.46,98.28,98.51,0.07
,21-Jun-22,99.08,0.04,0.68,0.03,9825.52,98.27,98.41,0
,22-Jun-22,99.06,0.04,0.61,0.03,10153.25,98.27,98.4,0.03
BSC204RPR,18-Jun-22,99.08,0.06,0.94,0.04,3113.33,98.1,98.18,0.04
,19-Jun-22,99.11,0.47,0.91,0.03,3046.33,98.14,98.38,0.11
,20-Jun-22,99.17,0.01,0.83,0.03,3139.12,98.11,97.94,0.01
,21-Jun-22,99.15,0.02,0.79,0.03,3205.41,98.15,98.07,0.01
,22-Jun-22,99.02,0,0.84,0.04,3179.05,98.12,97.88,0.02
BSC205RTL,18-Jun-22,98.78,0.06,0.6,0.08,5309.65,98.23,97.9,0.06
,19-Jun-22,98.68,0.05,0.58,0.06,5043.33,98.3,98.06,0.09
,20-Jun-22,98.73,0.03,0.56,0.07,5139.18,98.23,98.05,0.1
,21-Jun-22,98.69,0.12,0.57,0.08,5303.04,98.2,97.98,0.65
,22-Jun-22,98.64,0.07,0.62,0.05,5215.44,98.15,97.86,0.27
BSC206UJN,18-Jun-22,99,0.08,0.5,0.04,6025.57,98.31,98.15,0.03
,19-Jun-22,98.86,0.1,0.48,0.03,5966.14,98.53,98.29,0.12
,20-Jun-22,98.92,0.15,0.47,0.03,6166.71,98.42,98.23,1.1
,21-Jun-22,98.99,0.17,0.52,0.03,6133.82,98.39,98.11,0.08
,22-Jun-22,98.71,0.28,0.57,0.04,6230.8,98.24,97.34,0.91
BSC208BPL,18-Jun-22,99.09,0.03,0.8,0.04,4509.23,98.6,98.66,0.02
